VNET	NET	STA	SITE DESCRIPTION	LAT	LON	ELEV	START	END	STATUS	INSTALL	CERT
_US-TA	AK	DHY	Denali Highway, AK, USA	63.08	-147.38	1611.0	2015/02/19	2021/04/30	Ended	2008/07/08	2015/02/19
_US-TA	AK	E18K	Tukpahlearik Creek, AK, USA	67.42	-160.60	297.0	2020/09/23	2021/04/30	Ended	2017/07/28	2020/09/27
_US-TA	AK	E19K	Redstone River, AK, USA	67.46	-157.23	441.0	2020/09/23	2021/04/30	Ended	2017/07/20	2020/09/27
_US-TA	AK	E21K	Killik River, AK, USA	68.44	-153.97	653.0	2020/09/23	2021/04/30	Ended	2017/08/16	2020/09/27
_US-TA	AK	E24K	Your Creek, AK, USA	68.07	-148.49	847.0	2020/09/23	2021/04/30	Ended	2016/06/28	2020/09/27
_US-TA	AK	E25K	Arctic Village, AK, USA	68.12	-145.57	652.0	2020/09/29	2020/10/19	Ended	2016/07/11	2020/10/13
_US-TA	AK	E27K	Coleen River, AK, USA	68.19	-141.60	654.0	2020/09/23	2021/04/30	Ended	2016/07/12	2020/09/27
_US-TA	AK	EYAK	Cordova Ski Area, AK, USA	60.55	-145.75	133.9	2015/02/19	2021/04/30	Ended	2002/10/02	2015/02/19
_US-TA	AK	F15K	North Star Ditch, AK, USA	65.71	-164.65	388.0	2020/09/23	2021/04/30	Ended	2017/07/17	2020/09/27
_US-TA	AK	F18K	Selawik, AK, USA	66.60	-159.65	27.0	2020/11/04	2021/04/30	Ended	2017/07/26	2020/10/25
_US-TA	AK	F20K	Avaraart Lake, AK, USA	67.05	-155.73	136.0	2020/09/23	2021/04/30	Ended	2017/07/21	2020/09/27
_US-TA	AK	F21K	Alatna River, AK, USA	67.22	-153.48	597.0	2020/09/23	2021/04/30	Ended	2016/06/19	2020/09/27
_US-TA	AK	FALS	False Pass, AK, USA	54.86	-163.42	60.6	2015/02/19	2020/07/01	Ended	2002/06/18	2015/02/19
_US-TA	AK	G17K	Kiwalik Mountain, AK, USA	65.50	-160.65	338.0	2020/09/23	2021/04/30	Ended	2017/07/12	2020/09/27
_US-TA	AK	G19K	Purcell Mountains, AK, USA	66.14	-157.09	391.0	2020/09/23	2021/04/30	Ended	2017/06/13	2020/09/27
_US-TA	AK	G23K	Bananza Creek, AK, USA	66.71	-150.02	746.0	2020/09/23	2021/04/30	Ended	2016/06/15	2020/09/27
_US-TA	AK	G24K	Hadweenzic River, AK, USA	66.70	-147.48	503.0	2020/09/23	2021/04/30	Ended	2016/07/19	2020/09/27
_US-TA	AK	G27K	Doyon Strip, AK, USA	66.81	-141.65	686.0	2020/09/23	2021/04/30	Ended	2016/07/22	2020/09/27
_US-TA	AK	GAMB	Gambell, AK, USA	63.78	-171.70	5.0	2015/02/19	2021/04/26	Ended	2002/02/22	2015/02/19
